x,y
3.28,-2.31807
3.284,-2.32429
3.288,-2.33056
3.292,-2.3369
3.296,-2.34331
3.3,-2.34977
3.304,-2.35629
3.308,-2.36287
3.312,-2.36952
3.316,-2.37622
3.32,-2.38299
3.324,-2.38981
3.328,-2.39669
3.332,-2.40364
3.336,-2.41064
3.34,-2.4177
3.344,-2.42482
3.348,-2.432
3.352,-2.43924
3.356,-2.44654
3.36,-2.4539
3.364,-2.46131
3.368,-2.46878
3.372,-2.47631
3.376,-2.4839
3.38,-2.49154
3.384,-2.49924
3.388,-2.507
3.392,-2.51481
3.396,-2.52268
3.4,-2.5306
3.404,-2.53858
3.408,-2.54662
3.412,-2.55471
3.416,-2.56286
3.42,-2.57106
3.424,-2.57931
3.428,-2.58762
3.432,-2.59598
3.436,-2.6044
3.44,-2.61287
3.444,-2.62139
3.448,-2.62997
3.452,-2.6386
3.456,-2.64727
3.46,-2.65601
3.464,-2.66479
3.468,-2.67362
3.472,-2.68251
3.476,-2.69144
3.48,-2.70043
3.484,-2.70946
3.488,-2.71855
3.492,-2.72768
3.496,-2.73687
3.5,-2.7461
3.504,-2.75538
3.508,-2.76471
3.512,-2.77408
3.516,-2.7835
3.52,-2.79297
3.524,-2.80249
3.528,-2.81205
3.532,-2.82166
3.536,-2.83131
3.54,-2.84101
3.544,-2.85076
3.548,-2.86054
3.552,-2.87037
3.556,-2.88025
3.56,-2.89017
3.564,-2.90013
3.568,-2.91013
3.572,-2.92018
3.576,-2.93027
3.58,-2.9404
3.584,-2.95057
3.588,-2.96078
3.592,-2.97103
3.596,-2.98132
3.6,-2.99165
3.604,-3.00202
3.608,-3.01242
3.612,-3.02287
3.616,-3.03335
3.62,-3.04387
3.624,-3.05443
3.628,-3.06502
3.632,-3.07565
3.636,-3.08632
3.64,-3.09702
3.644,-3.10776
3.648,-3.11852
3.652,-3.12933
3.656,-3.14017
3.66,-3.15104
3.664,-3.16194
3.668,-3.17287
3.672,-3.18384
3.676,-3.19484
3.68,-3.20586
3.684,-3.21692
3.688,-3.22801
3.692,-3.23913
3.696,-3.25028
3.7,-3.26145
3.704,-3.27266
3.708,-3.28389
3.712,-3.29515
3.716,-3.30643
3.72,-3.31774
3.724,-3.32908
3.728,-3.34044
3.732,-3.35183
3.736,-3.36324
3.74,-3.37468
3.744,-3.38613
3.748,-3.39762
3.752,-3.40912
3.756,-3.42065
3.76,-3.43219
3.764,-3.44376
3.768,-3.45535
3.772,-3.46696
3.776,-3.47859
3.78,-3.49023
3.784,-3.5019
3.788,-3.51358
3.792,-3.52529
3.796,-3.537
3.8,-3.54874
3.804,-3.56049
3.808,-3.57226
3.812,-3.58404
3.816,-3.59584
3.82,-3.60765
3.824,-3.61947
3.828,-3.63131
3.832,-3.64316
3.836,-3.65502
3.84,-3.66689
3.844,-3.67878
3.848,-3.69067
3.852,-3.70258
3.856,-3.71449
3.86,-3.72642
3.864,-3.73835
3.868,-3.75029
3.872,-3.76224
3.876,-3.7742
3.88,-3.78616
3.884,-3.79812
3.888,-3.8101
3.892,-3.82208
3.896,-3.83406
3.9,-3.84604
3.904,-3.85803
3.908,-3.87003
3.912,-3.88202
3.916,-3.89402
3.92,-3.90602
3.924,-3.91802
3.928,-3.93002
3.932,-3.94202
3.936,-3.95402
3.94,-3.96602
3.944,-3.97801
3.948,-3.99001
3.952,-4.002
3.956,-4.01399
3.96,-4.02597
3.964,-4.03795
3.968,-4.04993
3.972,-4.0619
3.976,-4.07386
3.98,-4.08582
3.984,-4.09777
3.988,-4.10972
3.992,-4.12165
3.996,-4.13358
4,-4.1455
